,controln,state,hv1,avg_fam_income,med_house_income,med_house_income,hvp1,pobc2,med_fam_income,avggift,tcode,dob,domain,target_d,not_so_many_randoms,empty_col
0,190579,CA,3200,343,310,311,83,32,333,3.106060606,1,0,U1,4.0,0.7319383566694107, 
1,42997,FL,1567,409,392,391,27,10,434,6.5625,2,1808,C1,7.0,0.33363210273292776, 
2,132896,OR,953,455,319,379,1,45,387,15.57142857,2,4410,T1,25.0,0.7830873573747225, 
3,120189,TX,492,301,244,260,3,92,284,19.375,0,0,T2,25.0,0.08521491726092056, 
4,138829,AZ,847,308,185,238,0,20,225,11.5,28,3601,T2,25.0,0.11568514200885138, 
5,167462,CA,2645,697,644,655,87,46,682,8.75,0,3601,S1,15.0,0.3343318576717371, 
6,160401,CA,1952,398,335,365,48,55,367,13.0,28,3101,T2,13.0,0.8498762017031296, 
7,174934,OR,1305,471,391,456,19,40,448,7.0,28,0,S2,5.0,0.977926644200196, 
8,2020,CA,3556,805,735,701,98,55,838,7.35,2,2401,S1,7.0,0.11201134688803838, 
9,74235,MI,473,363,327,338,1,94,348,13.5,4,4912,T2,26.0,0.430695624837656, 
10,167039,CA,3201,591,497,552,92,72,539,5.0,0,0,S1,5.0,0.06747963259088219, 
11,165509,CA,2213,491,447,447,77,62,491,4.95,0,0,C1,10.0,0.729369423475831, 
12,151653,CA,1455,426,376,417,7,39,393,6.35,0,2401,U3,10.0,0.7132406499436853, 
13,100132,MO,393,301,216,258,0,71,258,10.0,0,2401,S2,15.0,0.5046788118544728, 
14,161726,CA,2453,475,438,451,86,45,436,5.8125,0,4601,T1,7.0,0.558303674254727, 
15,125986,TX,533,308,246,276,1,75,287,13.375,0,4610,T2,17.0,0.40918826765732674, 
16,185394,MI,647,338,285,317,0,80,300,8.916666667,2,2702,S2,5.0,0.9184813701470479, 
17,43799,FL,1044,499,366,318,15,35,458,13.16666667,2,5801,T2,20.0,0.444156473860996, 
18,185464,KY,702,397,308,348,0,23,337,11.11111111,1,3910,T2,15.0,0.25284113602527236, 
19,125325,TX,852,556,516,540,1,46,535,14.62347826,13,1709,S1,20.0,0.74895519012075, 
20,112679,OK,1045,618,528,538,1,48,604,15.0,1,4801,S1,20.0,0.49168248290413397, 
21,2415,CA,5501,958,817,924,98,36,870,17.5,28,5501,S1,25.0,0.14027204114295855, 
22,166866,CA,3921,835,754,804,96,50,799,10.0,0,0,S1,12.5,0.31513321337397837, 
23,4211,TX,919,697,425,562,10,63,558,17.92307692,2,402,C1,25.0,0.0570554844118496, 
24,182395,WA,755,313,210,315,2,39,244,16.5,28,2601,C2,10.0,0.3625004873709863, 
25,188178,NV,1383,562,410,464,14,8,499,7.0,28,0,S2,8.0,0.8425115109142324, 
26,147835,CA,3694,666,421,611,97,41,601,32.22222222,0,0,C1,20.0,0.9977617508755586, 
27,5532,MD,1690,700,598,655,29,30,653,9.928571429,0,2104,T2,15.0,0.07569411814090077, 
28,128857,TX,438,264,213,213,0,47,265,26.0,1,4801,C3,15.0,0.016610773502562237, 
29,40058,FL,1187,469,400,448,12,11,438,11.66666667,2,1007,C2,25.0,0.9755911387951277, 
30,179377,WA,1617,490,398,414,29,59,457,7.5,0,0,0,10.0,0.6234142764453597, 
31,166207,CA,1367,355,342,329,4,57,359,6.75,1,0,U2,9.0,0.2921281859707777, 
32,124227,TX,267,94,121,72,0,69,169,13.875,0,0,C3,25.0,0.786696251974405, 
33,7173,TN,854,427,321,389,0,58,372,17.73333333,2,3008,S1,32.0,0.9303441072811023, 
34,85152,MN,493,395,244,311,1,87,314,12.5,2,0,R3,10.0,0.48168418801593627, 
35,32807,FL,700,375,327,360,0,44,355,5.444444444,1002,3301,S2,5.0,0.4789518968117896, 
36,268,FL,1765,562,327,465,44,8,442,22.38095238,0,607,C1,33.0,0.7247189133604189, 
37,109514,LA,0,0,0,0,0,0,0,5.666666667,0,3601,T2,6.0,0.08049397055742857, 
38,181644,WA,929,352,327,369,8,47,314,8.5,0,5707,C3,12.0,0.46727514802843817, 
39,62585,NC,581,332,231,267,1,90,288,14.0,0,5001,C3,25.0,0.14230347647975428, 
40,163354,CA,4313,811,748,783,98,54,752,11.85714286,0,604,U1,10.0,0.8311369606076551, 
41,98672,IL,470,337,274,313,0,91,282,4.2,0,6506,C3,5.0,0.13821106124293359, 
42,190614,CO,1159,561,572,557,0,28,574,6.230769231,0,0,S1,3.0,0.11125495327848511, 
43,155607,CA,3152,950,853,891,81,45,908,34.0,0,5401,S1,38.0,0.8289992040463331, 
