,state,customer_lifetime_value,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,month
0,Central,4809.0,No,Basic,College,Employed,M,48029,Suburban,Married,61,7.0,52,0.0,3,Corporate Auto,Corporate,Offer3,Agent,293.0,Four-Door Car,Medsize,February
1,West,2229.0,No,Basic,College,Unemployed,F,0,Suburban,Single,64,3.0,26,0.0,1,Personal Auto,Personal,Offer4,Call Center,745.0,Four-Door Car,Medsize,January
2,East,14948.0,No,Basic,Bachelor,Employed,M,22139,Suburban,Single,100,34.0,31,0.0,2,Personal Auto,Personal,Offer3,Call Center,480.0,Four-Door Car,Medsize,February
3,North_West,22332.0,Yes,Extended,College,Employed,M,49078,Suburban,Single,97,10.0,3,0.0,2,Corporate Auto,Corporate,Offer2,Branch,484.0,Four-Door Car,Medsize,January
4,West,5035.0,No,Basic,Doctor,Employed,F,37405,Urban,Married,63,8.0,99,3.0,3,Corporate Auto,Corporate,Offer2,Branch,288.0,Four-Door Car,Medsize,February
5,West,4956.0,No,Basic,High School or Below,Employed,M,87197,Urban,Single,63,35.0,45,0.0,3,Personal Auto,Personal,Offer2,Branch,247.0,Two-Door Car,Medsize,February
6,West,5990.0,Yes,Premium,College,Employed,M,66839,Suburban,Single,154,33.0,24,0.0,1,Personal Auto,Personal,Offer2,Branch,739.0,Sports Car,Medsize,January
7,North_West,17114.0,No,Extended,Master,Employed,F,70961,Suburban,Married,85,19.0,8,0.0,2,Corporate Auto,Corporate,Offer2,Agent,408.0,Four-Door Car,Small,January
8,Central,5155.0,No,Extended,High School or Below,Employed,M,82730,Urban,Married,127,13.0,31,0.0,1,Corporate Auto,Corporate,Offer2,Branch,443.0,Four-Door Car,Large,January
9,North_West,19955.0,No,Extended,High School or Below,Employed,F,69096,Rural,Married,99,24.0,32,0.0,2,Corporate Auto,Corporate,Offer1,Agent,65.0,Four-Door Car,Medsize,January
10,West,5455.0,No,Basic,Master,Employed,M,66334,Suburban,Single,69,25.0,25,0.0,3,Personal Auto,Personal,Offer4,Call Center,331.0,Two-Door Car,Medsize,January
11,Central,12836.0,No,Premium,High School or Below,Unemployed,M,0,Suburban,Married,116,6.0,28,0.0,2,Personal Auto,Personal,Offer3,Agent,835.0,Two-Door Car,Medsize,February
12,West,4627.0,Yes,Basic,Master,Employed,F,79487,Suburban,Divorced,114,20.0,87,0.0,1,Special Auto,Special,Offer2,Branch,547.0,Four-Door Car,Medsize,January
13,West,5327.0,No,Basic,High School or Below,Employed,F,76717,Urban,Married,66,26.0,10,0.0,3,Personal Auto,Personal,Offer4,Call Center,301.0,Two-Door Car,Large,February
14,North_West,2498.0,No,Basic,High School or Below,Unemployed,M,0,Urban,Married,69,5.0,74,0.0,1,Corporate Auto,Corporate,Offer2,Branch,272.0,Two-Door Car,Medsize,January
15,West,2736.0,No,Basic,College,Disabled,M,17533,Suburban,Married,73,10.0,1,0.0,1,Personal Auto,Personal,Offer1,Agent,350.0,Two-Door Car,Medsize,February
16,West,3747.0,Yes,Extended,College,Employed,F,41479,Rural,Married,94,14.0,38,1.0,1,Personal Auto,Personal,Offer2,Call Center,20.0,Two-Door Car,Large,February
17,West,7247.0,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,104,9.0,58,0.0,3,Personal Auto,Personal,Offer1,Call Center,499.0,Four-Door Car,Medsize,February
18,North_West,6274.0,No,Extended,High School or Below,Medical Leave,F,13662,Suburban,Single,85,29.0,37,0.0,3,Personal Auto,Personal,Offer1,Agent,408.0,Four-Door Car,Small,February
19,North_West,15032.0,No,Basic,College,Employed,F,59456,Suburban,Married,189,11.0,7,0.0,3,Personal Auto,Personal,Offer2,Call Center,907.0,Luxury Car,Large,January
20,North_West,2502.0,No,Basic,High School or Below,Unemployed,M,0,Suburban,Divorced,74,26.0,95,1.0,1,Corporate Auto,Corporate,Offer1,Agent,355.0,Four-Door Car,Medsize,February
21,Central,9521.0,No,Extended,College,Employed,M,27769,Rural,Married,121,24.0,78,0.0,3,Special Auto,Special,Offer4,Agent,123.0,Four-Door Car,Small,January
22,Central,8870.0,No,Basic,College,Employed,F,81350,Rural,Married,110,1.0,28,0.0,3,Personal Auto,Personal,Offer3,Branch,228.0,Four-Door Car,Large,February
23,North_West,4376.0,Yes,Premium,Bachelor,Employed,F,63774,Rural,Divorced,111,18.0,63,0.0,1,Personal Auto,Personal,Offer2,Agent,60.0,Four-Door Car,Medsize,February
24,Central,2927.0,No,Basic,College,Employed,F,92381,Urban,Married,72,24.0,27,0.0,1,Special Auto,Special,Offer2,Call Center,235.0,Four-Door Car,Medsize,February
25,West,24707.0,No,Basic,High School or Below,Medical Leave,M,26307,Urban,Married,73,26.0,1,0.0,2,Personal Auto,Personal,Offer4,Call Center,313.0,Four-Door Car,Medsize,January
26,West,8491.0,No,Premium,High School or Below,Unemployed,F,0,Suburban,Single,116,3.0,97,0.0,3,Personal Auto,Personal,Offer1,Branch,1193.0,Four-Door Car,Large,January
27,West,9192.0,No,Basic,Master,Employed,F,23823,Suburban,Married,115,5.0,39,0.0,3,Corporate Auto,Corporate,Offer2,Branch,567.0,Sports Car,Medsize,February
